AssetID,Category,Asset,TargetVariants,Priority,ReusePotential,BuildStrategy,PreferredFormat,Status,SourceURL,License,Notes
FOOD_Tray,Food_Court,Food trays,4,SHOULD,Very High,Source,GLB,TODO,,,
FOOD_Plate,Food_Court,Plates/bowls,6,SHOULD,Very High,Source,GLB,TODO,,,
FOOD_Cup,Food_Court,Cups/mugs,6,SHOULD,Very High,Source,GLB,TODO,,,
FOOD_FoodProp,Food_Court,Generic food props,12,SHOULD,High,Source,GLB,TODO,,,
FOOD_FridgeDisplay,Food_Court,Display refrigerator,2,COULD,Medium,Source/custom,GLB,TODO,,,
FOOD_CoffeeMachine,Food_Court,Coffee machine,2,COULD,Medium,Source,GLB,TODO,,,
FOOD_MenuBoard,Food_Court,Menu boards,4,SHOULD,High,Custom,GLB,TODO,,,
BKR_BreakerPanel,Maintenance_Backrooms,Breaker/electrical panels,4,MUST,High,Source/custom,GLB,TODO,,,
BKR_Generator,Maintenance_Backrooms,Backup generator,2,MUST,Medium,Source/custom,GLB,TODO,,,
BKR_FuseBox,Maintenance_Backrooms,Fuse boxes,4,SHOULD,High,Source/custom,GLB,TODO,,,
BKR_ServerRack,Maintenance_Backrooms,Server racks,3,COULD,Medium,Source,GLB,TODO,,,
BKR_UtilityShelf,Maintenance_Backrooms,Utility shelving,6,SHOULD,High,Source,GLB,TODO,,,
BKR_Workbench,Maintenance_Backrooms,Maintenance workbench,3,SHOULD,Medium,Source,GLB,TODO,,,
BKR_ToolCabinet,Maintenance_Backrooms,Tool cabinets,4,SHOULD,High,Source,GLB,TODO,,,
BKR_Ladder,Maintenance_Backrooms,Ladders,4,SHOULD,High,Source,GLB,TODO,,,
BKR_MopBucket,Maintenance_Backrooms,Mop bucket,3,COULD,High,Source,GLB,TODO,,,
BKR_CleaningCart,Maintenance_Backrooms,Cleaning cart,2,COULD,Medium,Source,GLB,TODO,,,
BKR_Duct,Maintenance_Backrooms,HVAC duct modules,10,SHOULD,Very High,Custom,GLB,TODO,,,
BKR_CableTray,Maintenance_Backrooms,Cable trays,6,SHOULD,High,Custom,GLB,TODO,,,
BKR_WireBundle,Maintenance_Backrooms,Loose wire/cable bundles,6,COULD,High,Custom,GLB,TODO,,,
BKR_Valve,Maintenance_Backrooms,Pipe valves,5,SHOULD,Very High,Source/custom,GLB,TODO,,,
BKR_WaterHeater,Maintenance_Backrooms,Utility tank/water heater,2,COULD,Medium,Source,GLB,TODO,,,
BKR_Sump,Maintenance_Backrooms,Drain/sump equipment,2,COULD,Low,Custom,GLB,TODO,,,
LGT_Fluorescent,Lighting,Fluorescent ceiling fixtures,5,MUST,Very High,Custom,GLB,TODO,,,
LGT_LEDPanel,Lighting,Ceiling LED panels,4,MUST,Very High,Custom,GLB,TODO,,,
LGT_Emergency,Lighting,Emergency red lights,4,MUST,High,Custom,GLB,TODO,,,
LGT_ExitGlow,Lighting,Exit sign emissive versions,3,MUST,High,Custom,GLB,TODO,,,
LGT_Warehouse,Lighting,Warehouse hanging lights,5,MUST,High,Source/custom,GLB,TODO,,,
LGT_FlickerVariant,Lighting,Broken/flickering variants,6,MUST,High,Reuse fixtures,GLB,TODO,,,
LGT_Portable,Lighting,Portable work lights,3,COULD,Medium,Source,GLB,TODO,,,
LGT_FlashlightWorld,Lighting,World flashlight model,2,MUST,High,Custom/source,GLB,TODO,,,
ITM_Flashlight,Gameplay_Items,Player flashlight,2,MUST,High,Custom/source,GLB,TODO,,,
ITM_Battery,Gameplay_Items,Battery pickups,3,MUST,Very High,Custom,GLB,TODO,,,
ITM_Food,Gameplay_Items,Food pickup variants,8,MUST,High,Source,GLB,TODO,,,
ITM_Water,Gameplay_Items,Water/drink pickups,5,MUST,High,Source,GLB,TODO,,,
ITM_Medkit,Gameplay_Items,First-aid kit,2,MUST,High,Source/custom,GLB,TODO,,,
ITM_Bandage,Gameplay_Items,Bandage pickup,2,SHOULD,High,Custom,GLB,TODO,,,
ITM_Map,Gameplay_Items,Folded store map,2,MUST,High,Custom,GLB,TODO,,,
ITM_Radio,Gameplay_Items,Handheld radio,2,SHOULD,High,Source/custom,GLB,TODO,,,
ITM_Keycard,Gameplay_Items,Employee keycards,3,SHOULD,Very High,Custom,GLB,TODO,,,
ITM_Keys,Gameplay_Items,Key ring,2,COULD,High,Source,GLB,TODO,,,
ITM_Wrench,Gameplay_Items,Wrench,2,SHOULD,High,Source,GLB,TODO,,,
ITM_Screwdriver,Gameplay_Items,Screwdriver,2,SHOULD,High,Source,GLB,TODO,,,
ITM_Hammer,Gameplay_Items,Hammer,2,COULD,High,Source,GLB,TODO,,,
ITM_Tape,Gameplay_Items,Duct tape,2,COULD,High,Custom,GLB,TODO,,,
ITM_Fuse,Gameplay_Items,Replacement fuse,3,SHOULD,Very High,Custom,GLB,TODO,,,
ITM_CircuitPart,Gameplay_Items,Electrical repair parts,5,COULD,High,Custom,GLB,TODO,,,
ITM_FoodToken,Gameplay_Items,Cafeteria token/card,2,COULD,Very High,Custom,GLB,TODO,,,
ITM_Lighter,Gameplay_Items,Lighter/ignition prop,1,COULD,High,Source,GLB,TODO,,,
CHR_PlayerArms,Entities_Characters,First-person player arms,2,SHOULD,Medium,Custom,GLB,TODO,,,
CHR_Employee_Base,Entities_Characters,Store employee base character,1,MUST,Very High,Custom/source base,GLB,TODO,,,
CHR_Employee_Male,Entities_Characters,Employee body variant A,3,MUST,High,Custom,GLB,TODO,,,
CHR_Employee_Female,Entities_Characters,Employee body variant B,3,MUST,High,Custom,GLB,TODO,,,
CHR_Employee_Damaged,Entities_Characters,Damaged/late-night variants,4,SHOULD,High,Custom,GLB,TODO,,,
CHR_Employee_Head,Entities_Characters,Head/face variants,8,MUST,Very High,Custom,GLB,TODO,,,
CHR_Employee_Hands,Entities_Characters,Hand variants,4,SHOULD,High,Custom,GLB,TODO,,,
CHR_ShadowEntity,Entities_Characters,Distant shadow silhouette,2,COULD,High,Custom,GLB,TODO,,,
CHR_WarehouseEntity,Entities_Characters,Large warehouse-stalker silhouette,1,SHOULD,Medium,Custom,GLB,TODO,,,
CHR_Mannequin,Entities_Characters,Human mannequin variants,6,MUST,High,Source/custom,GLB,TODO,,,
ANIM_Player_Idle,Animations,Player idle,1,SHOULD,High,Custom/source,GLB,TODO,,,
ANIM_Player_Walk,Animations,Player walk,1,SHOULD,High,Source,GLB,TODO,,,
ANIM_Player_Run,Animations,Player run,1,SHOULD,High,Source,GLB,TODO,,,
ANIM_Player_Crouch,Animations,Player crouch,2,SHOULD,High,Source,GLB,TODO,,,
ANIM_Player_Interact,Animations,Player interaction reach,2,COULD,High,Custom,GLB,TODO,,,
ANIM_Employee_Idle,Animations,Employee idle variants,3,MUST,High,Source/custom,GLB,TODO,,,
ANIM_Employee_Walk,Animations,Employee walk,2,MUST,High,Source/custom,GLB,TODO,,,
ANIM_Employee_Run,Animations,Employee run/chase,2,MUST,High,Source/custom,GLB,TODO,,,
ANIM_Employee_Search,Animations,Employee searching,3,SHOULD,Medium,Custom,GLB,TODO,,,
ANIM_Employee_Point,Animations,Employee pointing/directing,2,SHOULD,Medium,Custom,GLB,TODO,,,
ANIM_Employee_Knock,Animations,Employee knocking,2,COULD,Medium,Custom,GLB,TODO,,,
ANIM_Employee_Attack,Animations,Employee attack/grab,3,MUST,Medium,Custom,GLB,TODO,,,
ANIM_Employee_Stumble,Animations,Employee stumble,2,COULD,Medium,Source,GLB,TODO,,,
ANIM_Mannequin_Move,Animations,Mannequin movement poses,4,SHOULD,High,Custom,GLB,TODO,,,
ANIM_Door,Animations,Door open/close,2,MUST,Very High,Object animation,GLB,TODO,,,
ANIM_Drawer,Animations,Drawer open/close,2,COULD,High,Object animation,GLB,TODO,,,
ANIM_Cabinet,Animations,Cabinet open/close,2,COULD,High,Object animation,GLB,TODO,,,
ANIM_CartWheel,Animations,Cart wheel spin,1,SHOULD,Very High,Object animation,GLB,TODO,,,
FX_Dust,FX,Floating dust particles,3,MUST,Very High,Particle,PNG/SVG/WebP,TODO,,,
FX_Fog,FX,Low floor fog,3,SHOULD,High,Particle/shader,PNG/SVG/WebP,TODO,,,
FX_Steam,FX,Pipe steam,3,SHOULD,High,Particle,PNG/SVG/WebP,TODO,,,
FX_Sparks,FX,Electrical sparks,3,MUST,High,Particle,PNG/SVG/WebP,TODO,,,
FX_LightFlicker,FX,Light flicker behavior,4,MUST,Very High,Shader/code,PNG/SVG/WebP,TODO,,,
FX_WaterDrip,FX,Water drip,3,SHOULD,High,Particle,PNG/SVG/WebP,TODO,,,
FX_LeakPuddle,FX,Puddle decals,5,SHOULD,Very High,Decal/PBR,PNG/SVG/WebP,TODO,,,
FX_GrimeDecal,FX,Grime decals,12,MUST,Very High,Decal,PNG/SVG/WebP,TODO,,,
FX_RustDecal,FX,Rust decals,12,MUST,Very High,Decal,PNG/SVG/WebP,TODO,,,
FX_ScratchDecal,FX,Scratch/scuff decals,10,SHOULD,Very High,Decal,PNG/SVG/WebP,TODO,,,
FX_BloodlessDamage,FX,Non-gory damage/grunge marks,8,SHOULD,Very High,Decal,PNG/SVG/WebP,TODO,,,
FX_ShadowPass,FX,Moving shadow projection,3,COULD,High,Shader/mesh,PNG/SVG/WebP,TODO,,,
AUD_Ambience_Day,Audio,Store daytime room tone,3,MUST,High,Record/source,OGG/WAV,TODO,,,
AUD_Ambience_Night,Audio,Night store ambience,5,MUST,High,Record/source,OGG/WAV,TODO,,,
AUD_Ambience_Warehouse,Audio,Warehouse drone,4,MUST,High,Record/source,OGG/WAV,TODO,,,
AUD_Ambience_Backroom,Audio,Backroom electrical ambience,4,MUST,High,Record/source,OGG/WAV,TODO,,,
AUD_LightBuzz,Audio,Fluorescent light buzz,4,MUST,Very High,Record/source,OGG/WAV,TODO,,,
AUD_PAFx,Audio,PA speaker crackle,4,MUST,High,Record/source,OGG/WAV,TODO,,,
AUD_PAAnnouncements,Audio,Store announcements,12,MUST,Medium,Custom voice,OGG/WAV,TODO,,,
AUD_FootstepConcrete,Audio,Concrete footsteps,8,MUST,Very High,Record/source,OGG/WAV,TODO,,,
AUD_FootstepCarpet,Audio,Carpet footsteps,8,MUST,Very High,Record/source,OGG/WAV,TODO,,,
AUD_FootstepWood,Audio,Wood/laminate footsteps,8,MUST,Very High,Record/source,OGG/WAV,TODO,,,
AUD_EmployeeSteps,Audio,Employee distinctive footsteps,8,MUST,High,Custom/source,OGG/WAV,TODO,,,
AUD_CartRoll,Audio,Shopping cart rolling,5,SHOULD,High,Record/source,OGG/WAV,TODO,,,
AUD_CartSqueak,Audio,Cart wheel squeaks,5,SHOULD,High,Record/source,OGG/WAV,TODO,,,
AUD_MetalBang,Audio,Distant metal impacts,8,MUST,High,Source,OGG/WAV,TODO,,,
AUD_FurnitureCreak,Audio,Furniture creaks,8,MUST,High,Source,OGG/WAV,TODO,,,
AUD_Door,Audio,Door open/close sounds,8,MUST,Very High,Source,OGG/WAV,TODO,,,
AUD_Electric,Audio,Electrical crackle/sparks,6,MUST,High,Source,OGG/WAV,TODO,,,
AUD_Vent,Audio,Ventilation hum,5,MUST,Very High,Source,OGG/WAV,TODO,,,
AUD_EntityVoice,Audio,Employee/entity vocal set,15,MUST,Medium,Custom voice,OGG/WAV,TODO,,,
AUD_UI_Click,Audio,UI click,3,MUST,Very High,Custom,OGG/WAV,TODO,,,
AUD_UI_Inventory,Audio,Inventory sounds,5,SHOULD,High,Custom/source,OGG/WAV,TODO,,,
AUD_Heartbeat,Audio,Danger heartbeat,4,SHOULD,High,Custom/source,OGG/WAV,TODO,,,
AUD_Stinger,Audio,Horror stingers,8,SHOULD,Medium,Custom/source,OGG/WAV,TODO,,,
AUD_Music,Audio,Dynamic music layers,8,COULD,Medium,Custom,OGG/WAV,TODO,,,
UI_HUD,UI,Core HUD frame,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Health,UI,Health indicator,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Stamina,UI,Stamina indicator,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Time,UI,Night clock/time indicator,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Inventory,UI,Inventory panel,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_ItemIcons,UI,Inventory item icons,24,MUST,Very High,Custom/render,PNG/SVG/WebP,TODO,,,
UI_Interact,UI,Interaction prompt,1,MUST,Very High,Custom,PNG/SVG/WebP,TODO,,,
UI_Map,UI,Store map UI,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Compass,UI,Direction/wayfinding UI,1,SHOULD,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Objective,UI,Objective tracker,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Threat,UI,Threat indicator,1,SHOULD,Medium,Custom,PNG/SVG/WebP,TODO,,,
UI_Settings,UI,Settings screens,1,MUST,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Multiplayer,UI,Lobby/team UI,1,SHOULD,High,Custom,PNG/SVG/WebP,TODO,,,
UI_Death,UI,Death/end-run screen,1,MUST,Medium,Custom,PNG/SVG/WebP,TODO,,,
UI_Ending,UI,Escape/ending screen,1,MUST,Medium,Custom,PNG/SVG/WebP,TODO,,,
